recipeName,dietaryPreference,cuisine,mainIngredients,prepTimeMinutes,description,Carb,Protein,Fat,spiceLevel
Vegan Tacos,"['Vegan', 'Gluten-Free']",Mexican,"['Corn tortillas', 'Black beans', 'Avocado', 'Tomato', 'Cilantro', 'Lime', 'Chili powder', 'Garlic']",20,"Soft corn tortillas filled with seasoned black beans, fresh avocado, diced tomatoes, and cilantro.",Medium,Medium,Medium,Medium
Chicken Caesar Salad,"['Gluten-Free']",American,"['Grilled chicken breast', 'Romaine lettuce', 'Caesar dressing', 'Parmesan']",15,"Classic Caesar salad topped with grilled chicken, crispy lettuce, and creamy Caesar dressing.",Low,High,High,Low
Vegetarian Stir-Fry,"['Vegetarian', 'Gluten-Free']",Asian,"['Tofu', 'Bell peppers', 'Broccoli', 'Snap peas', 'Soy sauce', 'Sesame oil', 'Garlic', 'Ginger']",25,"Stir-fried tofu with fresh vegetables in soy sauce-based dressing, topped with sesame seeds.",Medium,Medium,Medium,Low
Spaghetti Aglio e Olio,"['Vegetarian']",Italian,"['Spaghetti', 'Garlic', 'Olive oil', 'Red chili flakes', 'Parsley', 'Parmesan (optional)']",20,"Simple pasta with garlic, olive oil, and chili flakes, topped with parsley and optional Parmesan.",High,Low,Medium,Medium
Grilled Salmon with Asparagus,"['Gluten-Free', 'Keto']",American,"['Salmon fillets', 'Asparagus', 'Olive oil', 'Lemon', 'Garlic', 'Dill']",25,"Grilled salmon with lemon and garlic, served with tender asparagus spears.",Low,High,High,Low
Vegetable Soup,"['Vegan', 'Gluten-Free']",Mediterranean,"['Carrots', 'Celery', 'Zucchini', 'Tomatoes', 'Vegetable broth', 'Onion', 'Garlic', 'Bay leaves']",40,"A comforting soup with carrots, zucchini, and tomatoes in a savory vegetable broth.",Medium,Low,Low,Low
Chicken Curry,"['Gluten-Free']",Indian,"['Chicken thighs', 'Onions', 'Garlic', 'Ginger', 'Curry powder', 'Coconut milk', 'Tomatoes', 'Cilantro']",45,"Aromatic chicken curry cooked with coconut milk and Indian spices.",Medium,High,High,High
Sweet Potato & Black Bean Chili,"['Vegan', 'Gluten-Free']",American,"['Sweet potatoes', 'Black beans', 'Tomatoes', 'Onions', 'Chili powder', 'Cumin', 'Garlic', 'Broth']",40,"A hearty chili made with sweet potatoes and black beans, perfect for a warming meal.",High,Medium,Medium,Medium
Quinoa Salad with Roasted Vegetables,"['Vegan', 'Gluten-Free']",Mediterranean,"['Quinoa', 'Zucchini', 'Bell peppers', 'Cherry tomatoes', 'Olive oil', 'Lemon juice', 'Parsley']",30,"A refreshing quinoa salad with roasted vegetables and a lemon dressing.",High,Medium,Medium,Low
Chicken Tacos,"['Gluten-Free']",Mexican,"['Ground chicken', 'Corn tortillas', 'Lettuce', 'Tomato', 'Onion', 'Cheddar cheese', 'Taco seasoning']",20,"Ground chicken tacos seasoned with taco spices, served in corn tortillas with fresh toppings.",Medium,High,Medium,Medium
Falafel Wrap,"['Vegan']",Middle Eastern,"['Chickpeas', 'Garlic', 'Parsley', 'Tahini', 'Pita bread', 'Tomatoes', 'Lettuce']",30,"Crispy falafel served in a soft pita wrap with fresh vegetables and tahini sauce.",High,Medium,Low,Medium
Sushi Rolls,"['Gluten-Free']",Japanese,"['Sushi rice', 'Nori sheets', 'Cucumber', 'Avocado', 'Smoked salmon', 'Soy sauce']",40,"Fresh sushi rolls filled with vegetables and smoked salmon, served with soy sauce.",Medium,Medium,Low,Low
Eggplant Parmesan,"['Vegetarian']",Italian,"['Eggplant', 'Tomato sauce', 'Mozzarella', 'Parmesan', 'Basil', 'Breadcrumbs']",45,"Layers of eggplant, cheese, and tomato sauce baked to perfection.",High,Medium,Medium,Low
Pad Thai,"['Vegetarian', 'Gluten-Free']",Thai,"['Rice noodles', 'Tofu', 'Eggs', 'Peanuts', 'Tamarind paste', 'Bean sprouts', 'Lime']",30,"Classic Thai noodles stir-fried with tofu, eggs, and peanuts in tamarind sauce.",High,Medium,Medium,Medium
Lamb Kebabs,"['Keto', 'Gluten-Free']",Middle Eastern,"['Ground lamb', 'Onions', 'Garlic', 'Parsley', 'Cumin', 'Paprika', 'Mint']",35,"Grilled lamb kebabs seasoned with Middle Eastern spices and fresh herbs.",Low,High,High,Medium
Avocado Toast,"['Vegetarian']",American,"['Bread', 'Avocado', 'Lime', 'Chili flakes', 'Egg (optional)']",10,"Toasted bread topped with creamy avocado and chili flakes, with an optional egg.",High,Medium,Low,Low
Butter Chicken,"['Gluten-Free']",Indian,"['Chicken breast', 'Butter', 'Tomatoes', 'Cream', 'Garam masala', 'Garlic', 'Ginger']",40,"Rich and creamy Indian butter chicken simmered in a tomato-based sauce.",Medium,High,High,Medium
Shrimp Scampi,"['Gluten-Free', 'Keto']",Italian,"['Shrimp', 'Garlic', 'Butter', 'Lemon', 'Parsley', 'Zucchini noodles']",20,"Succulent shrimp cooked in a garlic butter sauce, served over zucchini noodles.",Low,High,High,Low
Vegetable Biryani,"['Vegetarian', 'Gluten-Free']",Indian,"['Basmati rice', 'Carrots', 'Peas', 'Onions', 'Spices', 'Yogurt', 'Cilantro']",45,"Aromatic and flavorful vegetable biryani with basmati rice and Indian spices.",High,Medium,Low,Medium
Stuffed Bell Peppers,"['Vegan', 'Gluten-Free']",Mediterranean,"['Bell peppers', 'Quinoa', 'Black beans', 'Tomatoes', 'Onions', 'Garlic', 'Paprika']",50,"Bell peppers stuffed with a savory mixture of quinoa, black beans, and tomatoes.",Medium,Medium,Low,Medium
Shakshuka,"['Vegetarian', 'Gluten-Free']",Middle Eastern,"['Eggs', 'Tomatoes', 'Bell peppers', 'Onions', 'Spices', 'Parsley']",30,"Poached eggs simmered in a spiced tomato and bell pepper sauce, garnished with parsley.",Low,Medium,Medium,Medium
Fish Tacos,"['Gluten-Free']",Mexican,"['White fish', 'Corn tortillas', 'Cabbage', 'Avocado', 'Lime', 'Sour cream', 'Spices']",20,"Crispy fish tacos with tangy cabbage slaw and creamy avocado sauce.",Medium,High,Medium,Medium
Spinach and Feta Pie,"['Vegetarian']",Greek,"['Spinach', 'Feta', 'Phyllo pastry', 'Eggs', 'Onions', 'Dill']",50,"Savory pie filled with spinach, feta, and herbs, wrapped in crispy phyllo pastry.",High,Medium,Medium,Low
Ratatouille,"['Vegan', 'Gluten-Free']",French,"['Eggplant', 'Zucchini', 'Tomatoes', 'Bell peppers', 'Onions', 'Garlic', 'Thyme']",40,"A classic French vegetable dish with layers of roasted eggplant, zucchini, and tomatoes.",Low,Low,Low,Low
BBQ Pulled Jackfruit,"['Vegan']",American,"['Jackfruit', 'BBQ sauce', 'Buns', 'Coleslaw', 'Pickles']",30,"Tender and smoky pulled jackfruit served on soft buns with coleslaw and pickles.",High,Medium,Low,Medium
Turkey Meatballs,"['Gluten-Free']",American,"['Ground turkey', 'Onions', 'Garlic', 'Egg', 'Breadcrumbs', 'Tomato sauce']",40,"Juicy turkey meatballs in a rich tomato sauce, perfect over pasta or rice.",Medium,High,Medium,Low
Mushroom Risotto,"['Vegetarian', 'Gluten-Free']",Italian,"['Arborio rice', 'Mushrooms', 'Onions', 'Garlic', 'Parmesan', 'White wine']",40,"Creamy risotto with earthy mushrooms and a touch of white wine.",High,Medium,Medium,Low
Thai Green Curry,"['Vegan', 'Gluten-Free']",Thai,"['Coconut milk', 'Green curry paste', 'Tofu', 'Eggplant', 'Green beans', 'Basil']",30,"Fragrant green curry with coconut milk, tofu, and fresh vegetables.",Low,Medium,Medium,High
BBQ Chicken Pizza,"['Gluten-Free']",American,"['Pizza crust', 'BBQ sauce', 'Chicken', 'Mozzarella', 'Red onions', 'Cilantro']",30,"Tangy BBQ chicken pizza with melted mozzarella and red onions.",High,High,Medium,Low
Palak Paneer,"['Vegetarian', 'Gluten-Free']",Indian,"['Spinach', 'Paneer', 'Tomatoes', 'Garlic', 'Ginger', 'Spices', 'Cream']",35,"Creamy spinach curry with soft paneer cubes, seasoned with Indian spices.",Medium,Medium,High,Medium
Chana Masala,"['Vegan', 'Gluten-Free']",Indian,"['Chickpeas', 'Tomatoes', 'Onions', 'Garlic', 'Ginger', 'Spices', 'Cilantro']",30,"Hearty chickpea curry in a flavorful tomato-based sauce.",Medium,Medium,Low,High
Aloo Gobi,"['Vegan', 'Gluten-Free']",Indian,"['Potatoes', 'Cauliflower', 'Onions', 'Tomatoes', 'Spices', 'Garlic', 'Ginger']",30,"Spiced potato and cauliflower curry cooked with onions and tomatoes.",Medium,Low,Low,Medium
Dal Tadka,"['Vegan', 'Gluten-Free']",Indian,"['Yellow lentils', 'Onions', 'Tomatoes', 'Garlic', 'Ginger', 'Spices', 'Cilantro']",40,"Lentil curry tempered with aromatic spices and garnished with cilantro.",Medium,High,Low,Medium
Chicken Tikka Masala,"['Gluten-Free']",Indian,"['Chicken', 'Tomatoes', 'Cream', 'Garlic', 'Ginger', 'Garam masala', 'Spices']",50,"Grilled chicken pieces simmered in a creamy tomato-based sauce.",Medium,High,High,High
Rasam,"['Vegan', 'Gluten-Free']",Indian,"['Tamarind', 'Tomatoes', 'Garlic', 'Black pepper', 'Cumin', 'Curry leaves']",20,"Spicy and tangy South Indian soup made with tamarind and spices.",Low,Low,Low,High
Malai Kofta,"['Vegetarian', 'Gluten-Free']",Indian,"['Potatoes', 'Paneer', 'Cream', 'Tomatoes', 'Spices', 'Garlic', 'Ginger']",50,"Soft paneer and potato dumplings in a rich, creamy tomato sauce.",High,Medium,High,Medium
